label,area,eccentricity,solidity,mean_intensity,equivalent_diameter_area,perimeter,axis_major_length,axis_minor_length
1,82.0,0.7691293285886397,0.9761904761904762,0.21477761836441894,10.217907939900583,31.798989873223327,12.783993028834665,8.170162589690518
2,167.0,0.4850180616154712,0.9766081871345029,0.28559351884466355,14.581872443920643,44.97056274847714,15.590479309028058,13.633938602540644
3,288.0,0.6463595300330325,0.9829351535836177,0.26604030501089326,19.149229459268767,60.284271247461895,21.913130919573195,16.720442008391
4,175.0,0.26781780674256384,0.9615384615384616,0.2133557422969188,14.927053303604616,47.45584412271571,15.216222842443155,14.660367758595774
5,427.0,0.8025113323499922,0.8372549019607843,0.2771180603388897,23.31680264534386,95.15432893255071,32.72219922905086,19.523270714185017
6,211.0,0.7849656314908817,0.9336283185840708,0.20721122572251652,16.39065416446578,55.94112549695428,20.84697083776065,12.915517940914409
7,251.0,0.8140784549503683,0.9543726235741445,0.2842746660417155,17.876888032555495,60.2842712474619,23.48504269741934,13.639053932827235
8,915.0,0.9652586068294349,0.7296650717703349,0.2881988642451516,34.13230410377644,179.26702730475878,76.75210840631583,20.055051570669136
9,105.0,0.0,0.963302752293578,0.25549953314659196,11.562445770562215,35.31370849898476,11.566783312160569,11.566783312160569
10,551.0,0.8879107606568404,0.7985507246376812,0.2743318743105227,26.486883341553696,115.98275605729688,42.817851523400215,19.69688565663455
11,161.0,0.5326361791755808,0.9877300613496932,0.2980392156862745,14.317526556719258,43.79898987322333,15.54964670256198,13.160355097080675
12,65.0,0.77857196795365,0.9701492537313433,0.20627450980392156,9.09728368293446,27.899494936611664,11.450094264464992,7.185567671032276
13,257.0,0.5336472725838819,0.9553903345724907,0.1983672846570535,18.089294154193436,58.76955262170047,19.689308218044246,16.65138879562437
14,68.0,0.6087418711570665,0.9315068493150684,0.18938869665513258,9.304852983362556,30.627416997969522,10.500868375190306,8.331056586733594
15,326.0,0.3806758815918945,0.9560117302052786,0.19497173102369783,20.37341629633241,69.49747468305833,21.219251316383104,19.62162278104241
16,321.0,0.5172452394096071,0.9727272727272728,0.2634658847962861,20.216574731145414,64.76955262170047,21.96637022145871,18.799637418514504
17,161.0,0.5144429812338686,0.9470588235294117,0.2028254780172939,14.317526556719258,46.2842712474619,15.487966551060822,13.281312135969031
18,179.0,0.6003703557570605,0.9572192513368984,0.20595903165735563,15.09668435477122,48.2842712474619,16.88971710622707,13.507080018867327
19,228.0,0.6942837599726626,0.9785407725321889,0.28498452012383896,17.03815178355966,54.04163056034261,20.083268941857078,14.45395615281355
20,79.0,0.4578788789749315,0.9404761904761905,0.18868205510052116,10.02925341359355,30.97056274847714,10.655760852683331,9.47312681138422
21,124.0,0.4329665455289836,0.9841269841269841,0.27685009487666046,12.565098628628435,38.62741699796952,13.251609539629293,11.945133225400935
22,323.0,0.9014336767118984,0.834625322997416,0.21764098828385844,20.279456919490165,82.66904755831213,32.80109491366742,14.200159092605313
23,156.0,0.5666625712032528,0.968944099378882,0.23217697335344395,14.093451279891855,43.79898987322333,15.518209098340051,12.786227707589168
